222  1991.54    146.3    506.28     49.1      9.4    1    1
223  1991.45    145.2    561.58     49.4      8.7    1    1
224  1991.37    145.5    422.83     54.5     12.1    1    1
225  1991.29    146.5    407.79     58.3      8.2    1    1
226  1991.20    146.6    434.81     63.3      8.3    1    1
227  1991.12    147.6    399.00     44.5      8.4    1    1
228  1991.04    147.6    391.91     44.5      6.5    1    1
229  1990.96    143.9    377.19     63.2      7.3    1    1
230  1990.87    141.7    393.52     66.1      7.0    1    1
231  1990.79    142.1    436.09     71.1      6.3    1    1
232  1990.71    142.1    435.94     71.1      6.9    1    1
233  1990.62    140.5    506.14     72.1      7.2    1    1
234  1990.54    140.6    405.50     64.0      6.4    1    1
235  1990.45    143.8    427.65     68.5      6.7    1    1
236  1990.37    147.0    443.69     69.1      8.7    1    1
237  1990.29    149.3    465.31     69.1      7.0    1    1
238  1990.20    152.0    435.95     74.5      8.5    1    1
239  1990.12    152.9    488.39     74.3      8.2    1    1
240  1990.04    150.6    473.67     72.3      8.6    1    1
241  1989.96    153.5    468.48     74.2      9.1    1    1
242  1989.87    157.5    463.00     70.9     11.1    1    1
243  1989.79    157.4    474.91     61.6      9.6    1    1
244  1989.71    156.6    392.68     68.7      9.0    1    1
245  1989.62    157.7    430.39     72.8      8.2    1    1
246  1989.54    158.5    377.56     73.3      6.7    1    1
247  1989.45    158.4    406.24     75.0      6.7    -1    0
248  1989.37    156.9    442.00     61.0      8.3    -1    0
249  1989.29    153.5    476.71     59.3      8.0    -1    0
250  1989.21    149.7    575.87     61.1      9.3    -1    0
251  1989.12    145.0    493.75     45.2      8.7    -1    0
252  1989.04    142.0    483.27     43.6      6.4    -1    0
253  1988.96    137.6    457.95     32.6      7.7    -1    0
254  1988.87    130.4    420.39     34.8      6.9    -1    0
255  1988.79    125.3    435.74     36.9      7.3    -1    0
256  1988.71    121.2    445.55     44.7      7.2    -1    0
257  1988.62    113.7    437.78     30.2      6.5    -1    0
258  1988.54    104.3    432.37     31.1      7.3    -1    0
259  1988.45     93.7    399.74     28.5      8.0    -1    0
260  1988.37     83.8    437.05     19.8      6.8    -1    0
261  1988.29     77.5    438.10     28.5      7.9    -1    0
262  1988.21     71.3    431.71     19.8      6.6    -1    0
263  1988.12     64.6    422.50     14.6      8.4    -1    0
264  1988.04     58.2    393.36     11.2      6.2    -1    0
265  1987.96     51.3    427.50     10.8      8.7    -1    0
266  1987.87     46.7    470.30     15.3      6.7    -1    0
267  1987.79     43.6    485.13     21.3      6.7    -1    0
268  1987.70     39.0    475.42     15.8      7.7    -1    0
269  1987.62     34.8    475.62     11.6      7.3    -1    0
270  1987.54     31.3    379.38      9.7      6.4    -1    0
271  1987.45     28.4    373.25      9.7      5.6    -1    0
272  1987.37     26.5    350.68      4.8      6.0    -1    0
273  1987.29     24.4    356.00      3.7      4.8    -1    0
274  1987.20     22.1    479.24      3.4      6.1    -1    0
